Threshold,Model_NetBenefit,TreatAll_NetBenefit,TreatNone_NetBenefit,Model
0.44,0.19642857142857145,-0.09890109890109888,0.0,LR interaction Acc
0.45,0.18881118881118886,-0.1188811188811188,0.0,LR interaction Acc
0.46,0.17966524216524216,-0.13960113960113957,0.0,LR interaction Acc
0.47,0.1716255442670537,-0.16110304789550073,0.0,LR interaction Acc
0.48,0.15939349112426038,-0.1834319526627219,0.0,LR interaction Acc
0.49,0.1470588235294118,-0.2066365007541478,0.0,LR interaction Acc
0.5,0.1346153846153846,-0.23076923076923078,0.0,LR interaction Acc
0.51,0.12686420722135008,-0.2558869701726845,0.0,LR interaction Acc
0.52,0.11899038461538461,-0.2820512820512821,0.0,LR interaction Acc
0.53,0.10679214402618656,-0.30932896890343714,0.0,LR interaction Acc
0.54,0.09406354515050167,-0.3377926421404683,0.0,LR interaction Acc
0.55,0.07638888888888887,-0.3675213675213677,0.0,LR interaction Acc
0.56,0.06818181818181818,-0.3986013986013987,0.0,LR interaction Acc
0.5700000000000001,0.059816636851520555,-0.4311270125223616,0.0,LR interaction Acc
0.5800000000000001,0.04166666666666663,-0.4652014652014655,0.0,LR interaction Acc
0.5900000000000001,0.04467636022514068,-0.5009380863039403,0.0,LR interaction Acc
0.6000000000000001,0.04807692307692303,-0.538461538461539,0.0,LR interaction Acc
0.6100000000000001,0.04437869822485202,-0.577909270216963,0.0,LR interaction Acc
0.6200000000000001,0.048329959514170004,-0.6194331983805672,0.0,LR interaction Acc
0.63,0.03976091476091477,-0.6632016632016633,0.0,LR interaction Acc
0.64,0.04807692307692307,-0.7094017094017095,0.0,LR interaction Acc
0.65,0.03502747252747253,-0.7582417582417584,0.0,LR interaction Acc
0.66,0.04072398190045248,-0.809954751131222,0.0,LR interaction Acc
0.67,0.042249417249417234,-0.8648018648018652,0.0,LR interaction Acc
0.68,0.03966346153846152,-0.9230769230769234,0.0,LR interaction Acc
0.6900000000000001,0.03194789081885854,-0.9851116625310179,0.0,LR interaction Acc
0.7000000000000001,0.02403846153846151,-1.0512820512820518,0.0,LR interaction Acc
0.7100000000000001,0.020722811671087485,-1.1220159151193643,0.0,LR interaction Acc
0.7200000000000001,0.017170329670329623,-1.1978021978021987,0.0,LR interaction Acc
0.7300000000000001,0.013354700854700807,-1.2792022792022801,0.0,LR interaction Acc
0.7400000000000001,0.03180473372781062,-1.3668639053254448,0.0,LR interaction Acc
0.7500000000000001,0.028846153846153806,-1.4615384615384628,0.0,LR interaction Acc
0.76,0.011217948717948706,-1.5641025641025643,0.0,LR interaction Acc
0.77,-0.001881270903010046,-1.675585284280937,0.0,LR interaction Acc
0.78,-0.005681818181818191,-1.7972027972027975,0.0,LR interaction Acc
0.79,-0.01465201465201467,-1.930402930402931,0.0,LR interaction Acc
0.8,-0.004807692307692325,-2.0769230769230775,0.0,LR interaction Acc
0.05,0.3577935222672065,0.3522267206477733,0.0,LGBM top25
0.060000000000000005,0.34973404255319146,0.3453355155482815,0.0,LGBM top25
0.07,0.34687758478081054,0.3382961124896609,0.0,LGBM top25
0.08,0.3442725752508361,0.3311036789297659,0.0,LGBM top25
0.09,0.3412933220625528,0.3237531699070161,0.0,LGBM top25
0.1,0.33386752136752135,0.3162393162393162,0.0,LGBM top25
0.11,0.32503241140881595,0.30855661192739847,0.0,LGBM top25
0.12000000000000001,0.3223339160839161,0.30069930069930073,0.0,LGBM top25
0.13,0.3172524314765694,0.2926613616268789,0.0,LGBM top25
0.14,0.31607781753130587,0.2844364937388193,0.0,LGBM top25
0.15000000000000002,0.31052036199095023,0.27601809954751133,0.0,LGBM top25
0.16,0.3035714285714286,0.2673992673992674,0.0,LGBM top25
0.16999999999999998,0.3016102873030584,0.2585727525486562,0.0,LGBM top25
0.18,0.28330206378986866,0.24953095684803006,0.0,LGBM top25
