N,Events,Prevalence,Threshold,TP,FP,TN,FN,ROC_AUC,PR_AUC,PR_AUC_Lift,Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Balanced_Accuracy,Brier,Net_Benefit,TreatAll_NetBenefit,TreatNone_NetBenefit
208,80,0.38461538461538464,0.21999999999999992,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.2639299802761341,0.21104536489151882,0.0
208,80,0.38461538461538464,0.22499999999999992,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.2619416873449132,0.20595533498759316,0.0
208,80,0.38461538461538464,0.22999999999999993,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.2599275724275725,0.20079920079920088,0.0
208,80,0.38461538461538464,0.23499999999999993,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.25788712921065865,0.19557566616390157,0.0
208,80,0.38461538461538464,0.23999999999999988,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.2558198380566802,0.19028340080971673,0.0
208,80,0.38461538461538464,0.24499999999999988,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.25372516556291397,0.18492103922567513,0.0
208,80,0.38461538461538464,0.2499999999999999,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.25160256410256415,0.1794871794871796,0.0
208,80,0.38461538461538464,0.2549999999999999,68,35,93,12,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7740384615384616,0.85,0.7265625,0.6601941747572816,0.8857142857142857,0.7431693989071039,0.78828125,0.14696136317623856,0.26932756840474964,0.17398038203407346,0.0
208,80,0.38461538461538464,0.2599999999999999,68,35,93,12,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7740384615384616,0.85,0.7265625,0.6601941747572816,0.8857142857142857,0.7431693989071039,0.78828125,0.14696136317623856,0.2678014553014553,0.16839916839916852,0.0
208,80,0.38461538461538464,0.2649999999999999,68,35,93,12,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7740384615384616,0.85,0.7265625,0.6601941747572816,0.8857142857142857,0.7431693989071039,0.78828125,0.14696136317623856,0.2662545787545788,0.16274201988487713,0.0
208,80,0.38461538461538464,0.2699999999999999,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.25487355110642784,0.1570073761854585,0.0
208,80,0.38461538461538464,0.2749999999999999,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.2536472148541114,0.15119363395225477,0.0
208,80,0.38461538461538464,0.27999999999999986,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.25240384615384615,0.1452991452991455,0.0
208,80,0.38461538461538464,0.28499999999999986,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.25114308768154925,0.1393222162452933,0.0
208,80,0.38461538461538464,0.28999999999999987,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.24986457204767065,0.13326110509209116,0.0
208,80,0.38461538461538464,0.2949999999999999,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.24856792144026188,0.12711402073104217,0.0
208,80,0.38461538461538464,0.2999999999999999,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.24725274725274726,0.12087912087912106,0.0
208,80,0.38461538461538464,0.3049999999999999,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.2459186496956281,0.11455451023796365,0.0
208,80,0.38461538461538464,0.3099999999999999,63,27,101,17,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7884615384615384,0.7875,0.7890625,0.7,0.8559322033898306,0.7411764705882353,0.78828125,0.14696136317623856,0.24456521739130435,0.10813823857302135,0.0
208,80,0.38461538461538464,0.31499999999999984,62,22,106,18,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8076923076923077,0.775,0.828125,0.7380952380952381,0.8548387096774194,0.7560975609756098,0.8015625,0.14696136317623856,0.2494385176866929,0.10162829870859091,0.0
208,80,0.38461538461538464,0.31999999999999984,62,22,106,18,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8076923076923077,0.775,0.828125,0.7380952380952381,0.8548387096774194,0.7560975609756098,0.8015625,0.14696136317623856,0.2483031674208145,0.09502262443438936,0.0
208,80,0.38461538461538464,0.32499999999999984,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.2467948717948718,0.08831908831908852,0.0
208,80,0.38461538461538464,0.32999999999999985,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.24583811710677383,0.08151549942594744,0.0
208,80,0.38461538461538464,0.33499999999999985,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.24486697513013303,0.0746096009253906,0.0
208,80,0.38461538461538464,0.33999999999999986,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.24388111888111888,0.06759906759906781,0.0
208,80,0.38461538461538464,0.34499999999999986,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.24288021139166177,0.06048150322959506,0.0
208,80,0.38461538461538464,0.3499999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.2418639053254438,0.0532544378698227,0.0
208,80,0.38461538461538464,0.3549999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.24083184257602863,0.04591532498509271,0.0
208,80,0.38461538461538464,0.3599999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.23978365384615385,0.038461538461538713,0.0
208,80,0.38461538461538464,0.3649999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.2387189582071472,0.030890369473046908,0.0
208,80,0.38461538461538464,0.36999999999999983,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.23763736263736265,0.02319902319902345,0.0
208,80,0.38461538461538464,0.37499999999999983,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.23653846153846156,0.015384615384615663,0.0
208,80,0.38461538461538464,0.37999999999999984,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.23542183622828783,0.007444168734491496,0.0
208,80,0.38461538461538464,0.38499999999999984,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.23428705440900566,-0.0006253908692930299,0.0
208,80,0.38461538461538464,0.38999999999999985,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.23313366960907944,-0.008827238335434806,0.0
208,80,0.38461538461538464,0.3949999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.23196122059758426,-0.017164653528289553,0.0
208,80,0.38461538461538464,0.3999999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.23076923076923078,-0.025641025641025272,0.0
208,80,0.38461538461538464,0.4049999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.22955720749838399,-0.03425985778926921,0.0
208,80,0.38461538461538464,0.4099999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.2283246414602347,-0.043024771838330866,0.0
208,80,0.38461538461538464,0.4149999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.22707100591715978,-0.05193951347797471,0.0
208,80,0.38461538461538464,0.4199999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.22579575596816978,-0.06100795755968136,0.0
208,80,0.38461538461538464,0.4249999999999998,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.22449832775919734,-0.07023411371237426,0.0
