Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend Routed,recall,Sensitivity,0.8532818532818532,0.4249999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend Routed,specificity,Specificity,0.9421641791044776,0.4249999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend Routed,f1,F1,0.8649706457925636,0.4249999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend Routed,auc,AUC,0.8422318907393536,0.4249999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend Routed,acc,Accuracy,0.8188679245283019,0.4249999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend Routed,recall,Sensitivity,0.6833976833976834,0.4249999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend Routed,specificity,Specificity,0.8843283582089553,0.4249999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend Routed,f1,F1,0.7108433734939759,0.4249999999999998,795,259
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend Routed,auc,AUC,0.8533203125,0.4249999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend Routed,acc,Accuracy,0.8125,0.4249999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend Routed,recall,Sensitivity,0.7375,0.4249999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend Routed,specificity,Specificity,0.859375,0.4249999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend Routed,f1,F1,0.7515923566878981,0.4249999999999998,208,80
6-Month,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.913372327551432,0.2949999999999999,795,259
6-Month,Train_Fit,Train Fit,Logistic Reg.,acc,Accuracy,0.8264150943396227,0.2949999999999999,795,259
6-Month,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.833976833976834,0.2949999999999999,795,259
6-Month,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8227611940298507,0.2949999999999999,795,259
6-Month,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.7578947368421053,0.2949999999999999,795,259
6-Month,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.9046418486716994,0.2949999999999999,795,259
6-Month,Validation_OOF,Validation OOF,Logistic Reg.,acc,Accuracy,0.8226415094339623,0.2949999999999999,795,259
6-Month,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.8262548262548263,0.2949999999999999,795,259
6-Month,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8208955223880597,0.2949999999999999,795,259
6-Month,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.7521968365553603,0.2949999999999999,795,259
6-Month,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8923828125,0.2949999999999999,208,80
6-Month,Test_Temporal,Temporal Test,Logistic Reg.,acc,Accuracy,0.8461538461538461,0.2949999999999999,208,80
6-Month,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.8375,0.2949999999999999,208,80
6-Month,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8515625,0.2949999999999999,208,80
6-Month,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.8072289156626506,0.2949999999999999,208,80
6-Month,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.9150291015962656,0.2899999999999998,795,259
6-Month,Train_Fit,Train Fit,Elastic LR,acc,Accuracy,0.8276729559748428,0.2899999999999998,795,259
6-Month,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.8455598455598455,0.2899999999999998,795,259
6-Month,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8190298507462687,0.2899999999999998,795,259
6-Month,Train_Fit,Train Fit,Elastic LR,f1,F1,0.7617391304347826,0.2899999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.9043897308822684,0.2899999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic LR,acc,Accuracy,0.8213836477987422,0.2899999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.8301158301158301,0.2899999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8171641791044776,0.2899999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.7517482517482518,0.2899999999999998,795,259
6-Month,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.89453125,0.2899999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Elastic LR,acc,Accuracy,0.8461538461538461,0.2899999999999998,208,80
